Date,Close,High,Low,Open,Volume
2022-07-18,143.6613006591797,144.92607447979125,143.32220030975256,143.8904255406138,228000
2022-07-19,147.0248260498047,147.13480149820694,145.49427379263474,145.87920184671307,321300
2022-07-20,144.7152557373047,146.34662361897105,144.25700601807995,146.2733159704061,255100
2022-07-21,145.88836669921875,146.10833158807174,144.88938571693612,145.29264768749778,199200
2022-07-22,146.91485595703125,147.71220595635504,146.3832846292584,147.1806346285822,133400
2022-07-25,146.1083526611328,146.68575183723024,145.6134490706728,146.68575183723024,111700
2022-07-26,144.86190795898438,145.7875813992323,144.74275854952535,145.54928258031424,154500
2022-07-27,146.6857452392578,147.00651166791593,144.80691849976313,145.65925630740384,129300
2022-07-28,146.19082641601562,146.4566190955334,144.53196460162036,145.44846407783186,176700
2022-07-29,149.01364135742188,149.18777848946232,146.03501816214748,146.59408338280124,293700
2022-08-01,152.8446044921875,153.09204925416336,151.75396799976215,151.75396799976215,248600
2022-08-02,149.99432373046875,151.40572692205032,149.86601434941588,150.5808828988067,215900
2022-08-03,149.50856018066406,150.19593477012754,147.7855367346473,149.24276750798862,190900
2022-08-04,143.57882690429688,144.9810701365277,143.55133303579615,144.11955829770903,398500
2022-08-05,144.1745147705078,144.8252354814879,143.20302766835303,144.44946738056518,233100
2022-08-08,143.1572265625,144.15620771323208,143.0105832785375,143.8904289976392,259900
2022-08-09,140.16944885253906,142.97393534679375,139.7295329671807,142.05743576123737,289200
2022-08-10,144.7061004638672,145.1276963724633,142.21322079177622,142.97391702848586,243100
2022-08-11,145.3568115234375,146.39244634362416,145.063525000597,145.6134302385874,124600
2022-08-12,147.84051513671875,148.1154677520912,145.94336866152346,146.6857309337595,203700
2022-08-15,147.06150817871094,147.4647561903502,146.10834091748995,147.4647561903502,142200
2022-08-16,146.1083526611328,146.57576238460464,145.33849641611818,145.99837719318012,191500
2022-08-17,147.34561157226562,148.1796153929265,146.46576600027373,146.71322475250128,148100
2022-08-18,145.84255981445312,146.42911889446293,145.52177941778945,146.16332622644524,163400
2022-08-19,143.3955078125,144.77941692543905,143.08388737612108,144.50446429789133,184200
2022-08-22,141.4342041015625,142.9280887194087,141.09508979005514,142.60732229757502,206000
2022-08-23,140.66433715820312,142.31403902949933,140.66433715820312,140.90263597469013,185600
2022-08-24,141.59915161132812,142.19487060352702,140.41687358608075,140.59099671796181,220600
2022-08-25,142.97390747070312,142.97390747070312,141.6266522238401,142.05740806383963,112900
2022-08-26,139.0971221923828,142.51566114530493,139.0604543838233,142.19488075143084,207300
2022-08-29,139.0971221923828,139.74782895526369,138.57471080544582,138.59304470972558,173800
2022-08-30,137.63070678710938,140.01361070960309,137.06248166076242,139.9036212771676,290800
2022-08-31,136.89752197265625,138.42807441625862,136.8517081866885,137.9789986241351,293400
2022-09-01,134.54212951660156,135.52277671044405,133.4514928730839,135.28449187471423,268600
2022-09-02,133.40565490722656,135.52276635478785,132.96573909615873,135.22949380896648,189700
2022-09-06,131.9209442138672,133.1948779975891,131.31605116945084,132.89243147538093,232300
2022-09-07,131.37103271484375,131.52683594900412,129.18977345192633,130.1337668019212,311200
2022-09-08,132.09506225585938,132.21419766761457,130.57366990407544,130.7019792599686,264500
2022-09-09,133.4331512451172,133.8364132396853,133.07571701987214,133.8364132396853,159300
2022-09-12,132.9290771484375,133.70810729281956,132.58081685896155,132.58081685896155,228600
2022-09-13,128.5207061767578,131.01358564860504,128.49321231369612,130.5920037585451,265700
2022-09-14,129.6571807861328,130.79364516031592,129.06146172612603,129.7213284768284,199500
2022-09-15,128.72235107421875,130.4728684632486,128.52989401198676,129.3730718679055,239900
2022-09-16,128.98812866210938,129.46469827402152,128.48405120271113,128.60320059802456,212500
2022-09-19,129.6388397216797,129.84963067185566,128.30991836412832,128.41989381905992,238500
2022-09-20,128.97897338867188,130.28040102744583,128.49322976239262,129.77633747975165,276900
